программирование|Написание компьютерных программ
алгоритм|Последовательность действий для решения задачи
переменная|Именованная область памяти
функция|Блок кода, выполняющий определенную задачу
модуль|Файл с кодом Python
словарь|Структура данных ключ-значение
список|Упорядоченная коллекция элементов
цикл|Повторяющаяся структура
условие|Проверка истинности выражения
строка|Последовательность символов
массив|Упорядоченный набор данных
объект|Экземпляр класса в программировании
класс|Шаблон для создания объектов
метод|Функция, принадлежащая классу
атрибут|Переменная класса или объекта
наследование|Механизм создания нового класса на основе существующего
инкапсуляция|Сокрытие внутренней реализации объекта
полиморфизм|Возможность объектов с одинаковым интерфейсом
рекурсия|Вызов функцией самой себя
итерация|Повторение действия несколько раз
